iter	Passed	Remaining
783	888	244
784	889	243
785	890	242
786	891	241
787	892	240
788	894	239
789	895	237
790	896	236
791	897	235
792	898	234
793	899	233
794	900	232
795	901	231
796	902	229
797	903	228
798	904	227
799	905	226
800	907	225
801	907	224
802	910	223
803	912	222
804	913	221
805	915	220
806	916	219
807	917	218
808	919	217
809	920	215
810	921	214
811	922	213
812	923	212
813	924	211
814	925	210
815	927	209
816	928	207
817	929	206
818	930	205
819	931	204
820	932	203
821	934	202
822	935	201
823	936	199
824	937	198
825	938	197
826	939	196
827	940	195
828	941	194
829	942	193
830	943	191
831	944	190
832	946	189
833	947	188
834	948	187
835	949	186
836	950	185
837	951	183
838	952	182
839	954	181
840	955	180
841	956	179
842	957	178
843	958	177
844	959	175
845	960	174
846	961	173
847	963	172
848	964	171
849	966	170
850	967	169
851	969	168
852	970	167
853	971	166
854	973	165
855	974	163
856	975	162
857	977	161
858	978	160
859	979	159
860	979	158
861	980	157
862	982	155
863	983	154
864	984	153
865	985	152
866	986	151
867	987	150
868	988	148
869	989	147
870	990	146
871	991	145
872	992	144
873	993	143
874	994	142
875	995	140
876	996	139
877	997	138
878	998	137
879	999	136
880	1000	135
881	1001	133
882	1002	132
883	1003	131
884	1004	130
885	1005	129
886	1006	128
887	1007	127
888	1008	125
889	1009	124
890	1010	123
891	1011	122
892	1012	121
893	1013	120
894	1014	119
895	1015	117
896	1016	116
897	1017	115
898	1018	114
899	1019	113
900	1020	112
901	1021	111
902	1022	109
903	1023	108
904	1024	107
905	1025	106
906	1026	105
907	1027	104
908	1028	102
909	1029	101
910	1030	100
911	1031	99
912	1033	98
913	1034	97
914	1035	96
915	1036	95
916	1038	93
917	1040	92
918	1041	91
919	1043	90
920	1044	89
921	1045	88
922	1046	87
923	1048	86
924	1048	85
925	1049	83
926	1050	82
927	1051	81
928	1052	80
929	1053	79
930	1054	78
931	1055	77
932	1056	75
933	1057	74
934	1058	73
935	1059	72
936	1060	71
937	1061	70
938	1062	69
939	1063	67
940	1064	66
941	1065	65
942	1067	64
943	1069	63
944	1070	62
945	1072	61
946	1073	60
947	1074	58
948	1075	57
949	1076	56
950	1077	55
951	1078	54
952	1079	53
953	1080	52
954	1081	50
955	1082	49
956	1083	48
957	1084	47
958	1085	46
959	1087	45
960	1089	44
961	1090	43
962	1091	41
963	1093	40
964	1094	39
965	1095	38
966	1096	37
967	1098	36
968	1099	35
969	1100	34
970	1101	32
971	1102	31
972	1103	30
973	1104	29
974	1105	28
975	1106	27
976	1107	26
977	1109	24
978	1110	23
979	1111	22
980	1112	21
981	1113	20
982	1114	19
983	1115	18
984	1116	17
985	1117	15
986	1118	14
987	1119	13
988	1120	12
989	1122	11
990	1123	10
991	1124	9
992	1125	7
993	1126	6
994	1127	5
995	1128	4
996	1130	3
997	1131	2
998	1132	1
999	1133	0
